key	0	1	2	3	4	5	6
190508	0.019	0.048	0.058	0.445	0.118	0.153	0.160
190509	0.016	0.041	0.060	0.465	0.143	0.153	0.122
190510	0.008	0.021	0.069	0.487	0.186	0.112	0.117
190511	0.008	0.011	0.083	0.467	0.148	0.147	0.136
190512	0.008	0.019	0.075	0.482	0.166	0.143	0.107
190601	0.008	0.008	0.064	0.529	0.138	0.143	0.110
190602	0.008	0.009	0.061	0.588	0.162	0.076	0.097
190603	0.008	0.014	0.040	0.515	0.217	0.107	0.098
190604	0.016	0.013	0.059	0.546	0.173	0.083	0.110
190605	0.000	0.007	0.017	0.574	0.155	0.072	0.174
190606	0.000	0.006	0.023	0.558	0.152	0.077	0.184
190607	0.000	0.001	0.012	0.466	0.226	0.103	0.191
190608	0.000	0.008	0.010	0.375	0.208	0.178	0.222
190609	0.000	0.000	0.017	0.429	0.174	0.188	0.192
190610	0.000	0.000	0.008	0.447	0.206	0.216	0.123
190611	0.000	0.002	0.013	0.465	0.213	0.200	0.107
190612	0.000	0.002	0.014	0.493	0.138	0.226	0.128
190701	0.000	0.006	0.033	0.365	0.222	0.135	0.239
190702	0.000	0.010	0.033	0.482	0.130	0.161	0.185
190703	0.007	0.034	0.071	0.464	0.112	0.123	0.188
190704	0.000	0.016	0.024	0.568	0.107	0.130	0.154
190705	0.000	0.010	0.014	0.521	0.150	0.118	0.187
190706	0.000	0.006	0.015	0.529	0.143	0.098	0.209
190707	0.000	0.000	0.031	0.491	0.127	0.100	0.250
190708	0.000	0.012	0.031	0.475	0.154	0.091	0.238
190709	0.000	0.000	0.012	0.566	0.118	0.112	0.192
190710	0.000	0.000	0.017	0.584	0.143	0.092	0.163
190711	0.000	0.000	0.011	0.604	0.181	0.092	0.112
190712	0.000	0.000	0.001	0.625	0.209	0.063	0.101
190801	0.000	0.000	0.009	0.692	0.172	0.058	0.069
190802	0.000	0.000	0.006	0.638	0.218	0.078	0.059
190803	0.000	0.000	0.011	0.729	0.138	0.062	0.060
190804	0.000	0.000	0.027	0.733	0.126	0.067	0.047
190805	0.000	0.000	0.018	0.599	0.165	0.143	0.075
190806	0.000	0.000	0.027	0.684	0.098	0.099	0.092
190807	0.000	0.000	0.019	0.664	0.134	0.086	0.096
190808	0.000	0.000	0.030	0.606	0.157	0.087	0.120
190809	0.000	0.000	0.092	0.594	0.155	0.056	0.104
190810	0.002	0.042	0.090	0.531	0.128	0.075	0.132
190811	0.041	0.057	0.084	0.521	0.095	0.086	0.115
190812	0.059	0.048	0.092	0.558	0.111	0.049	0.083
190901	0.050	0.049	0.111	0.492	0.108	0.076	0.114
190902	0.007	0.030	0.084	0.529	0.149	0.058	0.143
190903	0.005	0.020	0.132	0.551	0.135	0.035	0.123
190904	0.000	0.016	0.130	0.580	0.133	0.024	0.116
190905	0.000	0.024	0.129	0.565	0.118	0.045	0.119
190906	0.000	0.039	0.109	0.513	0.166	0.059	0.114
190907	0.003	0.025	0.120	0.490	0.134	0.113	0.116
190908	0.004	0.026	0.121	0.532	0.109	0.067	0.141
190909	0.007	0.079	0.079	0.567	0.072	0.043	0.153
190910	0.006	0.084	0.082	0.565	0.099	0.044	0.119
190911	0.021	0.073	0.083	0.508	0.093	0.084	0.138
190912	0.023	0.025	0.113	0.471	0.102	0.106	0.160
191001	0.008	0.025	0.135	0.421	0.149	0.100	0.162
191002	0.003	0.020	0.120	0.600	0.081	0.044	0.133
191003	0.010	0.083	0.196	0.609	0.006	0.008	0.088
191004	0.009	0.072	0.202	0.615	0.006	0.029	0.067
191005	0.027	0.059	0.174	0.638	0.012	0.039	0.050
191006	0.045	0.073	0.296	0.484	0.035	0.044	0.023
191007	0.064	0.114	0.264	0.434	0.072	0.046	0.007
191008	0.073	0.158	0.258	0.385	0.082	0.044	0.000
191009	0.113	0.088	0.217	0.484	0.058	0.018	0.022
191010	0.122	0.113	0.149	0.498	0.082	0.014	0.022
191011	0.156	0.091	0.128	0.533	0.046	0.023	0.022
191012	0.140	0.106	0.162	0.524	0.045	0.015	0.007
191101	0.166	0.078	0.117	0.491	0.074	0.049	0.026
191102	0.105	0.113	0.126	0.480	0.121	0.041	0.013
191103	0.114	0.129	0.189	0.419	0.102	0.044	0.003
191104	0.099	0.092	0.147	0.511	0.089	0.059	0.003
191105	0.086	0.125	0.167	0.490	0.060	0.059	0.012
191106	0.131	0.152	0.160	0.397	0.076	0.045	0.038
191107	0.116	0.128	0.145	0.384	0.136	0.054	0.038
191108	0.066	0.090	0.099	0.637	0.045	0.036	0.027
191109	0.065	0.101	0.067	0.648	0.074	0.011	0.034
191110	0.028	0.093	0.067	0.620	0.100	0.056	0.036
191111	0.021	0.082	0.061	0.638	0.101	0.055	0.042
191112	0.003	0.020	0.068	0.718	0.085	0.063	0.042
191201	0.006	0.009	0.077	0.716	0.108	0.041	0.042
191202	0.003	0.018	0.098	0.674	0.130	0.035	0.043
191203	0.000	0.012	0.035	0.718	0.129	0.045	0.061
191204	0.000	0.008	0.026	0.666	0.169	0.062	0.069
191205	0.000	0.012	0.021	0.645	0.179	0.069	0.074
191206	0.000	0.017	0.034	0.600	0.191	0.083	0.075
191207	0.000	0.009	0.032	0.562	0.175	0.107	0.115
191208	0.000	0.000	0.032	0.542	0.155	0.126	0.145
191209	0.000	0.003	0.036	0.539	0.151	0.119	0.151
191210	0.000	0.003	0.028	0.572	0.132	0.106	0.159
191211	0.000	0.004	0.050	0.660	0.064	0.089	0.132
191212	0.000	0.006	0.067	0.662	0.074	0.076	0.115
191301	0.000	0.006	0.052	0.626	0.110	0.093	0.113
191302	0.000	0.008	0.041	0.685	0.113	0.060	0.094
191303	0.001	0.012	0.021	0.656	0.113	0.074	0.123
191304	0.000	0.012	0.034	0.753	0.066	0.054	0.082
191305	0.000	0.011	0.038	0.765	0.073	0.056	0.057
191306	0.008	0.011	0.055	0.737	0.047	0.079	0.063
191307	0.008	0.024	0.097	0.647	0.040	0.094	0.090
191308	0.025	0.067	0.163	0.539	0.052	0.067	0.087
191309	0.012	0.049	0.091	0.609	0.081	0.078	0.080
191310	0.003	0.028	0.088	0.622	0.088	0.100	0.071
191311	0.008	0.032	0.106	0.607	0.104	0.080	0.064
191312	0.012	0.046	0.080	0.570	0.115	0.066	0.110
191401	0.019	0.026	0.132	0.513	0.070	0.093	0.147
191402	0.015	0.018	0.087	0.579	0.097	0.048	0.156
191403	0.009	0.030	0.087	0.592	0.116	0.069	0.097
191404	0.008	0.030	0.081	0.580	0.076	0.137	0.088
191405	0.009	0.058	0.116	0.523	0.068	0.104	0.122
191406	0.027	0.067	0.137	0.409	0.141	0.083	0.134
191407	0.046	0.092	0.115	0.376	0.107	0.137	0.127
191408	0.033	0.056	0.132	0.430	0.103	0.142	0.105
191409	0.008	0.055	0.140	0.499	0.133	0.087	0.077
191410	0.005	0.052	0.127	0.525	0.132	0.082	0.076
191411	0.028	0.071	0.140	0.561	0.105	0.028	0.068
191412	0.028	0.043	0.125	0.573	0.136	0.044	0.051
191501	0.022	0.025	0.123	0.543	0.137	0.086	0.065
191502	0.010	0.030	0.103	0.571	0.134	0.087	0.065
191503	0.026	0.058	0.116	0.524	0.113	0.095	0.069
191504	0.044	0.095	0.139	0.430	0.076	0.056	0.161
191505	0.009	0.034	0.066	0.563	0.064	0.061	0.204
191506	0.002	0.030	0.054	0.531	0.106	0.073	0.204
191507	0.000	0.025	0.042	0.411	0.157	0.064	0.300
191508	0.000	0.034	0.043	0.375	0.114	0.095	0.339
191509	0.000	0.024	0.045	0.396	0.125	0.108	0.302
191510	0.000	0.020	0.047	0.485	0.137	0.112	0.199
191511	0.000	0.013	0.026	0.511	0.165	0.119	0.166
191512	0.000	0.012	0.013	0.532	0.134	0.138	0.171
191601	0.000	0.002	0.038	0.369	0.135	0.122	0.334
191602	0.000	0.004	0.040	0.468	0.170	0.097	0.221
191603	0.004	0.016	0.096	0.379	0.184	0.128	0.192
191604	0.000	0.020	0.089	0.429	0.171	0.129	0.162
191605	0.000	0.013	0.080	0.431	0.190	0.106	0.179
191606	0.000	0.020	0.092	0.396	0.151	0.156	0.184
191607	0.000	0.007	0.057	0.423	0.231	0.082	0.199
191608	0.000	0.000	0.047	0.518	0.142	0.090	0.203
191609	0.000	0.000	0.071	0.555	0.113	0.083	0.177
191610	0.000	0.007	0.059	0.557	0.100	0.087	0.189
191611	0.000	0.013	0.094	0.552	0.111	0.091	0.139
191612	0.000	0.019	0.112	0.533	0.096	0.085	0.155
191701	0.000	0.029	0.130	0.518	0.081	0.090	0.153
191702	0.007	0.063	0.140	0.457	0.121	0.070	0.142
191703	0.007	0.077	0.126	0.449	0.144	0.086	0.111
191704	0.007	0.054	0.112	0.483	0.092	0.109	0.143
191705	0.009	0.056	0.079	0.502	0.102	0.091	0.161
191706	0.042	0.063	0.046	0.553	0.070	0.067	0.159
191707	0.040	0.066	0.082	0.529	0.044	0.078	0.161
191708	0.047	0.028	0.073	0.662	0.025	0.042	0.123
191709	0.070	0.016	0.073	0.663	0.033	0.027	0.118
191710	0.070	0.033	0.088	0.629	0.044	0.059	0.077
