key,0,1,2,3,4,5,6,row
190305,0.013,0.06,0.065,0.587,0.147,0.083,0.045,11
190306,0.006,0.025,0.096,0.599,0.172,0.064,0.038,11
190307,0.006,0.028,0.103,0.556,0.127,0.104,0.076,11
190308,0.021,0.053,0.074,0.514,0.114,0.119,0.104,11
190309,0.003,0.04,0.106,0.585,0.079,0.103,0.083,11
190310,0.003,0.06,0.115,0.586,0.072,0.069,0.095,11
190311,0.025,0.06,0.117,0.609,0.091,0.036,0.062,11
190312,0.054,0.07,0.097,0.623,0.071,0.039,0.046,11
190401,0.054,0.075,0.12,0.59,0.096,0.03,0.035,11
190402,0.078,0.071,0.111,0.558,0.117,0.036,0.029,11
190403,0.093,0.077,0.128,0.382,0.166,0.111,0.043,11
190404,0.098,0.078,0.102,0.509,0.144,0.054,0.016,11
190405,0.089,0.073,0.096,0.548,0.144,0.037,0.014,11
190406,0.097,0.054,0.082,0.573,0.118,0.052,0.025,11
190407,0.08,0.045,0.1,0.553,0.117,0.049,0.056,11
190408,0.06,0.025,0.11,0.56,0.106,0.054,0.086,11
190409,0.036,0.052,0.095,0.558,0.072,0.113,0.075,11
190410,0.036,0.075,0.123,0.513,0.103,0.095,0.056,11
190411,0.057,0.116,0.133,0.563,0.084,0.019,0.028,11
190412,0.059,0.094,0.168,0.57,0.071,0.026,0.012,11
190501,0.037,0.062,0.157,0.639,0.064,0.032,0.008,11
190502,0.031,0.076,0.154,0.593,0.097,0.039,0.009,11
190503,0.032,0.082,0.151,0.566,0.056,0.089,0.026,11
190504,0.051,0.09,0.093,0.478,0.093,0.095,0.1,11
190505,0.018,0.058,0.078,0.519,0.119,0.068,0.141,11
190506,0.017,0.033,0.078,0.507,0.108,0.089,0.168,11
190507,0.019,0.033,0.068,0.434,0.121,0.12,0.205,11
190508,0.019,0.048,0.058,0.445,0.118,0.153,0.16,11
190509,0.016,0.041,0.06,0.465,0.143,0.153,0.122,11
190510,0.008,0.021,0.069,0.487,0.186,0.112,0.117,11
190511,0.008,0.011,0.083,0.467,0.148,0.147,0.136,11
190512,0.008,0.019,0.075,0.482,0.166,0.143,0.107,11
190601,0.008,0.008,0.064,0.529,0.138,0.143,0.11,11
190602,0.008,0.009,0.061,0.588,0.162,0.076,0.097,11
190603,0.008,0.014,0.04,0.515,0.217,0.107,0.098,11
190604,0.016,0.013,0.059,0.546,0.173,0.083,0.11,11
190605,0,0.007,0.017,0.574,0.155,0.072,0.174,11
190606,0,0.006,0.023,0.558,0.152,0.077,0.184,11
190607,0,0.001,0.012,0.466,0.226,0.103,0.191,11
190608,0,0.008,0.01,0.375,0.208,0.178,0.222,11
190609,0,0,0.017,0.429,0.174,0.188,0.192,11
190610,0,0,0.008,0.447,0.206,0.216,0.123,11
190611,0,0.002,0.013,0.465,0.213,0.2,0.107,11
190612,0,0.002,0.014,0.493,0.138,0.226,0.128,11
190701,0,0.006,0.033,0.365,0.222,0.135,0.239,11
190702,0,0.01,0.033,0.482,0.13,0.161,0.185,11
190703,0.007,0.034,0.071,0.464,0.112,0.123,0.188,11
190704,0,0.016,0.024,0.568,0.107,0.13,0.154,11
