state
"Alaska",
"Ala.",
"Ark.",
"Ariz.",
"Calif.",
"Colo.",
"Conn.",
"D.C.",
"Del.",
"Fla.",
"Ga.",
"Hawaii",
"Iowa",
"Idaho",
"Ill.",
"Ind.",
"Kan.",
"Ky.",
"La.",
"Mass.",
"Md.",
"Maine",
"Mich.",
"Minn.",
"Mo.",
"Miss.",
"Mont.",
"N.C.",
"N.D.",
"Neb.",
"N.H.",
"N.J.",
"N.M",
"Nev.",
"N.Y.",
"Ohio",
"Okla.",
"Ore.",
"Pa.",
"R.I.",
"S.C.",
"S.D.",
"Tenn.",
"Texas",
"Utah",
"Va.",
"Vt.",
"Wash.",
"Wis.",
"W.Va.",
"Wyo."
