region,year,pop_density
Finland,2020,18.233
France,2020,119.209
France (and dependencies),2020,103.614
French Guiana,2020,3.634
French Polynesia,2020,76.75
Gabon,2020,8.638
Gambia,2020,238.801
Georgia,2020,57.406
Germany,2020,240.372
Ghana,2020,136.56
Gibraltar,2020,3369.1
Greater Arab Free Trade Area (GAFTA),2020,36.547
Greece,2020,80.862
Greenland,2020,0.138
Grenada,2020,330.938
Group of 77 (G77),2020,82.608
Group of Eight (G8),2020,25.225
Group of Seven (G7),2020,38.559
Group of Twenty (G20) - member states,2020,61.602
Guadeloupe,2020,245.778
Guam,2020,312.561
Guatemala,2020,167.185
Guinea,2020,53.446
Guinea-Bissau,2020,69.986
Gulf Cooperation Council (GCC),2020,22.8
Guyana,2020,3.996
Haiti,2020,413.735
High-income countries,2020,33.339
Holy See,2020,1838.636
Honduras,2020,88.521
Hungary,2020,106.709
Iceland,2020,3.404
India,2020,464.149
Indonesia,2020,150.987
Iran (Islamic Republic of),2020,51.575
Iraq,2020,92.61
Ireland,2020,71.677
Isle of Man,2020,149.179
Israel,2020,399.979
Italy,2020,205.555
Jamaica,2020,273.422
Japan,2020,346.934
Jordan,2020,114.926
Kazakhstan,2020,6.955
Kenya,2020,94.478
Kiribati,2020,147.464
Kuwait,2020,239.65
Kyrgyzstan,2020,34.016
LLDC: Africa,2020,40.921
LLDC: Asia,2020,25.063
LLDC: Europe,2020,105.344
LLDC: Latin America,2020,12.701
Land-locked Countries,2020,34.69
Land-locked Countries (Others),2020,98.906
Land-locked Developing Countries (LLDC),2020,32.238
Lao People's Democratic Republic,2020,31.523
Latin America and the Caribbean,2020,32.472
Latin America and the Caribbean,2020,32.472
Latin American Integration Association (ALADI),2020,29.974
Latin American and Caribbean Group (GRULAC),2020,32.419
Latvia,2020,30.325
"League of Arab States (LAS, informal name: Arab League)",2020,33.541
Least developed countries,2020,52.509
Least developed: Africa,2020,40.101
Least developed: Asia,2020,133.599
Least developed: Latin America and the Caribbean,2020,413.735
Least developed: Oceania,2020,27.432
Lebanon,2020,667.199
Lesotho,2020,70.562
Less developed regions,2020,80.515
"Less developed regions, excluding China",2020,70.561
"Less developed regions, excluding least developed countries",2020,89.782
Less developed: Africa,2020,45.216
Less developed: Asia,2020,147.205
Less developed: Latin America and the Caribbean,2020,32.472
Less developed: Oceania,2020,22.845
Liberia,2020,52.509
Libya,2020,3.905
Liechtenstein,2020,238.356
Lithuania,2020,43.436
Low-income countries,2020,52.257
Lower-middle-income countries,2020,144.386
Luxembourg,2020,241.69
Madagascar,2020,47.596
Malawi,2020,202.906
Malaysia,2020,98.512
Maldives,2020,1801.807
Mali,2020,16.596
Malta,2020,1379.809
Marshall Islands,2020,328.856
Martinique,2020,354.024
Mauritania,2020,4.511
Mauritius,2020,626.486
Mayotte,2020,727.501
Melanesia,2020,21.003
Mexico,2020,66.325
Micronesia,2020,173.163
Micronesia (Fed. States of),2020,164.316
Middle Africa,2020,27.644
Middle-income countries,2020,74.718
Monaco,2020,26338.255
Mongolia,2020,2.11
Montenegro,2020,46.696
Montserrat,2020,49.99
More developed regions,2020,25.935
More developed: Asia,2020,346.934
More developed: Europe,2020,33.776
More developed: Northern America,2020,19.777
More developed: Oceania,2020,3.816
Morocco,2020,82.703
Mozambique,2020,39.746
Myanmar,2020,83.286
Namibia,2020,3.086
Nauru,2020,541.7
Nepal,2020,203.256
Netherlands,2020,508.152
Netherlands (and dependencies),2020,503.511
New Caledonia,2020,15.618
New EU member states (joined since 2004),2020,93.047
New Zealand,2020,18.314
New Zealand (and dependencies),2020,18.356
Nicaragua,2020,55.049
Niger,2020,19.11
Nigeria,2020,226.336
Niue,2020,6.223
No income group available,2020,8.004
Non-Self-Governing Territories,2020,5.784
North American Free Trade Agreement (NAFTA),2020,24.656
North Atlantic Treaty Organization (NATO),2020,41.267
North Macedonia,2020,82.608
Northern Africa,2020,31.692
Northern Africa and Western Asia,2020,41.82
Northern America,2020,19.777
Northern America,2020,19.777
Northern Europe,2020,62.418
Northern Mariana Islands,2020,125.124
Norway,2020,14.842
Oceania,2020,5.029
Oceania (excluding Australia and New Zealand),2020,22.845
Oman,2020,16.5
Organisation for Economic Co-operation and Development (OECD),2020,38.107
Organization for Security and Co-operation in Europe (OSCE),2020,27.691
Organization of American States (OAS),2020,26.603
Organization of Petroleum Exporting countries (OPEC),2020,41.886
Organization of the Islamic Conference (OIC),2020,61.18
Pakistan,2020,286.546
Palau,2020,39.33
Panama,2020,58.041
Papua New Guinea,2020,19.757
Paraguay,2020,17.953
Peru,2020,25.759
Philippines,2020,367.512
Poland,2020,123.589
Polynesia,2020,84.521
Portugal,2020,111.33
Puerto Rico,2020,322.53
Qatar,2020,248.153
Republic of Korea,2020,527.298
Republic of Moldova,2020,122.799
Romania,2020,83.58
Russian Federation,2020,8.911
Rwanda,2020,525.019
Réunion,2020,358.123
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",2020,37.754
SIDS Caribbean,2020,192.777
SIDS Pacific,2020,22.828
Saint Barthélemy,2020,449.318
Saint Helena,2020,15.567
Saint Kitts and Nevis,2020,204.585
Saint Lucia,2020,301.031
Saint Martin (French part),2020,729.415
Saint Pierre and Miquelon,2020,25.196
Saint Vincent and the Grenadines,2020,284.479
Samoa,2020,70.11
San Marino,2020,565.633
Sao Tome and Principe,2020,228.293
Saudi Arabia,2020,16.195
Senegal,2020,86.968
Serbia,2020,99.901
Seychelles,2020,213.783
Shanghai Cooperation Organization (SCO),2020,98.722
Sierra Leone,2020,110.515
Singapore,2020,8357.633
Sint Maarten (Dutch part),2020,1261.235
Slovakia,2020,113.534
Slovenia,2020,103.224
Small Island Developing States (SIDS),2020,60.255
Solomon Islands,2020,24.54
Somalia,2020,25.334
South Africa,2020,48.891
South America,2020,24.67
South Asian Association for Regional Cooperation (SAARC),2020,389.049
S. Sudan,2020,18.322
South-Eastern Asia,2020,154.035
Southern Africa,2020,25.467
Southern African Development Community (SADC),2020,37.651
Southern Asia,2020,303.177
Southern Common Market (MERCOSUR),2020,22.628
Southern Europe,2020,117.548
Spain,2020,93.735
Sri Lanka,2020,341.465
State of Palestine,2020,847.411
Sub-Saharan Africa,2020,50.019
Sudan,2020,24.843
Suriname,2020,3.76
Sweden,2020,24.612
Switzerland,2020,219.016
Syrian Arab Republic,2020,95.304
Tajikistan,2020,68.145
Thailand,2020,136.624
Timor-Leste,2020,88.665
Togo,2020,152.211
Tokelau,2020,135
Tonga,2020,146.801
Trinidad and Tobago,2020,272.805
Tunisia,2020,76.072
Turkey,2020,109.584
Turkmenistan,2020,12.834
Turks and Caicos Islands,2020,40.756
Tuvalu,2020,393.067
UN-ECE: member countries,2020,28.746
UNFPA Regions,2020,81.293
UNFPA: Arab States (AS),2020,38.839
UNFPA: Asia and the Pacific (AP),2020,182.955
UNFPA: East and Southern Africa (ESA),2020,50.68
UNFPA: Eastern Europe and Central Asia (EECA),2020,42.488
UNFPA: Latin America and the Caribbean (LAC),2020,32.442
UNFPA: West and Central Africa (WCA),2020,50.739
UNICEF PROGRAMME REGIONS,2020,79.659
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2020,134.608
UNICEF Programme Regions: Eastern Caribbean,2020,249.588
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),2020,51.465
UNICEF Programme Regions: Europe and Central Asia (CEECIS),2020,44.646
UNICEF Programme Regions: Latin America,2020,32.314
UNICEF Programme Regions: Latin America and Caribbean (LACRO),2020,32.418
UNICEF Programme Regions: Middle East and North Africa (MENARO),2020,38.443
UNICEF Programme Regions: South Asia (ROSA),2020,389.049
UNICEF Programme Regions: West and Central Africa (WCARO),2020,48.488
UNICEF REGIONS,2020,59.917
UNICEF Regions: East Asia and Pacific,2020,97.975
UNICEF Regions: Eastern Europe and Central Asia,2020,18.829
UNICEF Regions: Eastern and Southern Africa,2020,47.821
UNICEF Regions: Europe and Central Asia,2020,34.218
UNICEF Regions: Latin America and Caribbean,2020,32.472
UNICEF Regions: Middle East and North Africa,2020,40.369
UNICEF Regions: North America,2020,19.777
UNICEF Regions: South Asia,2020,389.049
UNICEF Regions: Sub-Saharan Africa,2020,48.14
UNICEF Regions: West and Central Africa,2020,48.487
UNICEF Regions: Western Europe,2020,114.357
UNITED NATIONS Regional Groups of Member States,2020,59.998
Uganda,2020,228.922
Ukraine,2020,75.492
United Arab Emirates,2020,118.306
United Kingdom,2020,280.602
United Kingdom (and dependencies),2020,266.333
United Nations Economic Commission for Africa (UN-ECA),2020,45.571
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),2020,32.491
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,2020,88.982
United Nations Member States,2020,59.998
Tanzania,2020,67.435
United States Virgin Islands,2020,298.351
United States of America,2020,36.185
United States of America (and dependencies),2020,36.499
Upper-middle-income countries,2020,47.801
Uruguay,2020,19.848
Uzbekistan,2020,78.677
Vanuatu,2020,25.197
Venezuela (Bolivarian Republic of),2020,32.238
Viet Nam,2020,313.925
WB region: East Asia and Pacific (excluding high income),2020,134.615
WB region: Europe and Central Asia (excluding high income),2020,18.694
WB region: Latin America and Caribbean (excluding high income),2020,35.312
WB region: Middle East and North Africa (excluding high income),2020,45.879
WB region: South Asia (excluding high income),2020,389.049
WB region: Sub-Saharan Africa (excluding high income),2020,48.099
WHO Regions,2020,59.967
WHO: African region (AFRO),2020,47.45
WHO: Americas (AMRO),2020,26.603
WHO: Eastern Mediterranean Region (EMRO),2020,57.404
WHO: European Region (EURO),2020,34.5
WHO: South-East Asia region (SEARO),2020,312.963
WHO: Western Pacific region (WPRO),2020,91.047
Wallis and Futuna Islands,2020,80.329
West African Economic and Monetary Union (UEMOA),2020,37.75
Western Africa,2020,66.269
Western Asia,2020,58.196
Western Europe,2020,180.814
Western European and Others Group (WEOG),2020,29.646
W. Sahara,2020,2.246
World,2020,59.917
World Bank Regional Groups (developing only),2020,71.088
Yemen,2020,56.492
Zambia,2020,24.73
Zimbabwe,2020,38.42
